UCACCSD	YR	LOCATE	ROW	TREE	ShellIntegrity	ShellTexture	ShellColor	SEAL	ShellStrength	ShellThickness	PackingTissue	KernelFill	%TipShrivel	%MinorShrivel	%MajorShrivel	Plumpness	EaseOfRemoval	PercentKernel	%Blank
2	2020	New Stuke	7	7	7	5	5	5	6	1.3	5	6	0	0	0	5	5	45.58371173	0
2	2020	GB	11	5	7	5	5	5	6	1.3	5	4	0	0	0	5	5	48.88755262	0
2	2021	New Stuke	7	7	7	6	5	5	6	1.2	6	5	0	0	0	5	6	47.49664906	0
2	2021	GB	11	5	7	6	5	5	6	1.2	5	5	11.11111111	0	0	5	5	47.78657788	10
3	2017	New Stuke	9	6	7	6	5	5	6	1.4	5	5	0	0	0	4	5	46.57330787	0
3	2017	GB	13	3	7	6	4	5	5	1.4	5	4	0	0	0	5	5	49.20550038	0
3	2018	New Stuke	9	6	7	6	5	5	6	1.4	6	5	0	0	0	5	6	48.11684582	0
3	2018	GB	13	3	7	6	5	5	6	1.4	6	5	0	0	0	5	6	49.44584383	10
3	2019	New Stuke	9	6	7	6	5	5	5	1.3	6	5	0	0	0	4	5	46.8225606	0
3	2019	GB	13	3	7	6	5	5	6	1.4	6	5	0	0	0	5	5	43.59483615	0
3	2020	New Stuke	9	6	7	6	5	5	5	1.3	6	4	0	0	0	5	5	45.8840805	0
6	2018	New Stuke	1	17	7	5	4	5	5	1.2	5	5	0	0	0	3	5	52.01085222	0
6	2018	GB	1	1	7	5	5	5	5	1.2	5	5	0	0	0	3	6	51.49648651	0
6	2019	New Stuke	1	17	7	5	5	5	5	1.2	5	5	0	0	0	3	5	52.00924111	0
6	2019	GB	1	1	7	5	4	5	5	1.1	5	5	0	0	0	3	5	52.33449477	0
6	2020	New Stuke	1	17	7	5	5	5	5	1.2	5	5	0	10	0	4	4	50.71205544	0
6	2021	New Stuke	1	17	7	5	5	5	5	1.2	5	5	NA	NA	NA	NA	5	NA	0
6	2021	GB	1	1	7	5	5	5	5	1.2	5	5	NA	NA	NA	NA	5	52.3960739	0
48	2018	New Stuke	3	8	6	4	5	5	6	1.4	6	6	30	10	10	6	5	49.40528634	0
48	2018	GB	5	4	6	4	6	5	6	1.5	6	6	11.11111111	0	0	6	5	52.58928571	10
48	2019	New Stuke	3	8	7	5	5	5	5	1.2	6	6	10	0	0	6	5	52.71981326	0
48	2019	GB	5	4	7	5	6	5	6	1.2	6	6	10	0	0	6	5	53.30428468	0
54	2018	New Stuke	5	7	7	7	5	5	6	1.4	5	4	0	0	10	4	6	42.22510618	0
54	2018	GB	5	9	7	7	5	5	6	1.4	6	4	0	0	0	4	6	46.4240753	0
54	2019	New Stuke	5	7	7	5	5	5	5	1.2	6	5	10	0	0	5	6	46.70784291	0
54	2019	GB	5	9	7	5	5	5	5	1.2	6	5	10	0	0	4	6	47.52503908	0
54	2020	New Stuke	5	7	7	5	5	5	5	1.2	6	4	0	0	0	4	6	47.88615966	0
49-049	2017	New Stuke	5	9	7	5	5	5	5	1.3	5	6	0	0	10	5	5	44.81737414	0
49-049	2017	GB	7	3	7	5	5	5	5	1.3	5	6	0	0	0	5	5	52.43635035	0
49-049	2018	New Stuke	5	9	7	5	5	5	5	1.3	5	5	0	0	0	4	5	49.69627319	0
49-049	2018	GB	7	3	7	5	5	5	5	1.2	5	5	0	0	0	5	5	52.17203837	10
49-049	2019	New Stuke	5	9	7	5	5	5	5	1.2	5	5	0	0	0	4	5	50.08113291	10
49-049	2019	GB	7	3	7	5	5	5	5	1.2	5	5	0	0	0	4	5	53.3975219	0
49-049	2020	New Stuke	5	9	7	6	5	5	5	1.2	5	5	0	0	0	4	5	50.60177917	0
49-049	2020	GB	7	3	7	5	5	5	5	1.2	5	5	0	0	0	5	5	50.26871252	0
49-049	2021	New Stuke	5	9	7	6	5	5	5	1.2	5	5	0	0	0	5	5	49.67549553	0
49-049	2021	GB	7	3	7	6	5	5	5	1.2	5	5	0	0	0	5	5	47.71003091	0
53-113	2018	New Stuke	7	13	7	6	5	5	5	1.3	5	5	0	0	0	5	5	47.11832823	10
59-129	2017	New Stuke	3	14	5	6	5	5	5	1.3	5	5	0	0	0	6	5	56.84053449	10
59-129	2017	GB	5	3	7	6	5	5	5	1.3	5	5	0	0	0	6	5	57.24801812	0
59-129	2017	S505	50	1	7	7	6	5	5	1.2	5	6	0	0	0	6	5	57.99293623	10
59-129	2018	New Stuke	3	14	7	6	6	5	5	1.1	5	6	0	0	0	5	5	63.71420743	0
59-129	2018	GB	5	3	7	7	4	5	5	1	5	6	0	0	0	5	5	59.80492813	0
59-129	2018	S505	50	1	7	5	5	NA	NA	1.1	4	5	10	0	0	5	5	58.90957447	0
59-129	2018	Moore	1	5	7	5	5	5	5	1.1	4	6	0	0	0	5	4	59.07949791	0
59-129	2019	New Stuke	3	14	7	5	6	5	5	1.2	5	6	0	0	0	5	5	58.93945445	20
59-129	2019	GB	5	3	7	6	6	5	5	1.2	5	6	0	0	0	5	5	58.14546167	0
59-129	2021	New Stuke	3	14	7	6	5	5	5	1.1	5	6	NA	NA	NA	NA	5	59.42022941	10
59-129	2021	GB	5	3	7	6	5	5	5	1.1	5	5	NA	NA	NA	NA	5	63.23152573	0
59-129	2021	S505	50	1	7	6	5	5	5	1	5	6	0	0	0	6	5	63.30959938	0
64-172	2017	New Stuke	1	6	7	5	4	5	5	1.2	4	5	11.11111111	0	0	5	4	49.46515255	10
64-172	2017	GB	13	2	7	5	4	5	5	1.2	4	5	10	0	0	5	4	56.30052306	0
64-172	2017	S505	8	30	7	4	5	5	5	1.2	5	5	20	0	0	4	4	50.97263957	0
64-172	2017	S505	0	0	7	5	5	5	5	1.2	5	3	70	0	0	4	4	46.99421542	0
64-172	2017	Stolp	7	1	7	5	5	4	4	0.9	5	4	20	0	0	4	4	56.4513091	0
64-172	2017	Crane	99	99	7	5	5	5	5	1.2	4	4	70	0	0	4	4	48.32188265	0
64-172	2017	Norene	5	8	7	5	5	5	4	1.2	5	4	50	12.5	12.5	4	3	50.6879435	20
64-172	2018	New Stuke	1	6	7	5	5	5	5	1.3	6	5	0	0	0	4	5	48.25432415	0
64-172	2018	New Stuke	9	15	7	5	4	5	5	1.2	5	4	40	0	0	4	5	49.16405434	0
64-172	2018	GB	13	2	7	5	5	5	5	1.2	5	4	30	10	0	4	5	53.46575119	0
64-172	2018	Select Chico	3	10	7	5	4	5	5	1.3	4	4	50	0	0	4	4	43.24640849	0
64-172	2018	S505	8	30	7	5	4	5	5	1.2	4	3	50	0	0	4	3	46.09875613	0
64-172	2018	S505	0	0	7	5	3	5	5	1.2	4	4	90	0	0	4	4	46.96838082	0
64-172	2018	Stolp	7	1	7	5	4	5	5	1.4	4	4	40	0	0	4	4	45.96446929	0
64-172	2018	Gilbert	8	1	7	5	4	5	5	1.2	4	3	60	0	0	3	3	45.92807252	0
64-172	2019	New Stuke	1	6	7	4	4	5	5	1.2	5	5	0	0	0	5	5	45.32248184	0
64-172	2019	New Stuke	9	15	7	4	5	5	5	1.2	5	5	22.22222222	11.11111111	0	4	5	46.92107546	10
64-172	2019	GB	13	2	7	5	5	5	5	1.2	5	5	20	0	0	4	5	48.64342646	0
64-172	2019	GB	13	2	7	5	5	5	5	1.2	5	5	20	0	0	4	5	48.83395522	0
64-172	2019	GB	13	2	7	5	5	5	5	1.2	5	5	10	0	0	4	4	48.64190058	0
64-172	2019	Lampinen	6	24	7	5	5	5	6	1.2	5	5	16.66666667	0	0	4	5	46.73081993	0
64-172	2019	Lampinen	9	9	7	5	5	5	6	1.3	5	5	16.66666667	0	0	4	5	46.15502451	0
64-172	2019	Lampinen	9	9	7	5	5	5	6	1.2	5	4	50	0	0	4	5	43.3442623	0
64-172	2019	Lampinen	9	9	7	5	5	5	5	1.2	5	5	50	0	0	4	5	45.0547755	0
64-172	2019	Lampinen	9	9	7	5	5	5	5	1.2	5	4	16.66666667	0	0	4	5	43.77299002	0
64-172	2019	Lampinen	9	9	7	5	4	5	6	1.3	5	5	66.66666667	0	0	4	5	45.10442897	0
64-172	2019	Lampinen	8	19	7	5	5	5	6	1.3	5	4	16.66666667	0	0	4	5	45.18916088	0
64-172	2019	Lampinen	8	19	7	5	5	5	6	1.2	5	5	20	0	0	4	4	44.02479179	16.66666667
64-172	2019	Lampinen	8	19	7	4	5	5	5	1.3	5	5	33.33333333	0	0	4	5	46.17026955	0
64-172	2019	Lampinen	8	19	7	4	5	5	5	1.2	5	5	0	0	0	5	5	45.62671678	0
64-172	2019	Lampinen	8	19	7	4	4	5	5	1.3	5	5	0	0	0	4	5	45.57575758	0
64-172	2019	Lampinen	6	24	7	4	5	5	6	1.2	5	5	0	0	0	4	4	45.78661275	16.66666667
64-172	2019	Lampinen	6	24	7	5	5	5	6	1.2	5	4	0	0	0	4	5	46.3316722	0
64-172	2019	Lampinen	9	9	7	5	5	5	6	1.3	5	4	16.66666667	0	0	4	5	46.7619473	0
64-172	2019	Lampinen	8	19	7	4	5	5	5	1.2	5	4	33.33333333	0	0	4	5	45.37997214	0
64-172	2019	Lampinen	12	29	7	5	5	5	5	1.3	5	5	28.57142857	0	0	4	4	45.08883249	0
64-172	2019	Lampinen	12	29	7	5	5	5	5	1.2	5	5	60	0	0	4	4	48.56490541	0
64-172	2019	Lampinen	6	24	7	4	4	5	5	1.2	5	4	0	0	0	4	4	46.11183923	0
64-172	2019	Lampinen	9	9	7	5	5	5	6	1.3	5	5	10	0	0	5	5	46.86656903	0
64-172	2019	Lampinen	8	19	7	5	5	5	6	1.2	5	4	10	0	0	5	5	45.47049589	0
64-172	2019	Lampinen	6	24	7	5	5	5	6	1.2	5	5	20	0	0	5	5	45.98127688	0
64-172	2019	Lampinen	2	14	7	5	5	5	6	1.3	5	4	40	0	0	5	5	45.74575416	0
64-172	2019	Lampinen	12	29	7	5	4	5	6	1.2	5	5	10	0	0	5	5	47.31369151	0
64-172	2019	Lampinen	9	9	7	5	5	5	6	1.2	5	5	50	0	0	4	4	45.22062973	0
64-172	2019	Lampinen	12	29	7	4	5	5	6	1.2	5	5	16.66666667	0	0	4	4	44.06026963	0
64-172	2019	Lampinen	12	29	7	5	5	5	5	1.2	5	5	14.28571429	0	0	4	4	47.31244943	0
64-172	2019	Lampinen	9	9	7	5	5	5	6	1.3	5	5	28.57142857	0	0	4	5	43.89541857	0
64-172	2019	Lampinen	9	9	7	5	5	5	5	1.2	5	4	71.42857143	0	0	4	5	44.7347374	0
64-172	2019	Lampinen	6	24	7	4	5	5	5	1.2	5	4	33.33333333	0	0	4	4	44.42334141	14.28571429
64-172	2019	Lampinen	2	14	7	5	5	5	5	1.2	5	5	16.66666667	0	0	4	5	48.54074247	14.28571429
64-172	2019	Lampinen	12	29	7	5	5	5	6	1.2	5	4	0	0	0	4	4	46.2254395	0
64-172	2019	Lampinen	2	14	7	5	5	5	5	1.2	5	5	50	0	0	4	4	46.84954592	0
64-172	2019	Lampinen	12	29	7	4	4	5	5	1.2	5	4	0	0	0	4	5	43.22900527	33.33333333
64-172	2019	Lampinen	6	24	7	5	4	5	5	1.2	5	5	50	0	0	4	5	44.12582923	0
64-172	2019	Lampinen	6	24	7	5	5	5	5	1.2	5	5	0	0	0	5	4	47.92614215	25
64-172	2019	Lampinen	6	24	7	4	4	5	5	1.2	5	4	0	0	0	4	5	46.3648834	0
64-172	2019	Lampinen	2	14	7	5	5	5	6	1.3	5	5	0	0	0	5	5	48.49098643	0
64-172	2019	Lampinen	2	14	7	5	5	5	5	1.2	5	5	0	0	0	4	5	47.43036485	0
64-172	2019	Lampinen	2	14	7	4	5	5	5	1.2	5	5	100	0	0	4	4	45.67579313	0
64-172	2019	Lampinen	2	14	7	4	4	5	5	1.2	5	5	25	0	0	4	4	46.55587142	0
64-172	2019	Lampinen	2	14	7	5	5	5	6	1.3	5	5	0	0	0	5	5	44.79755179	0
64-172	2019	Lampinen	2	14	7	5	5	5	5	1.2	5	4	0	0	0	5	5	45.87389546	33.33333333
64-172	2019	Lampinen	12	29	7	5	5	5	5	1.2	5	5	0	0	0	4	5	46.9619757	0
64-172	2019	Lampinen	12	29	7	4	5	5	5	1.2	5	4	50	0	0	4	4	41.91944306	0
64-172	2019	Lampinen	6	24	7	5	5	5	5	1.2	5	5	0	0	0	3	5	42.27861771	0
64-172	2019	Lampinen	6	24	7	4	5	5	5	1.3	5	5	50	0	0	4	5	44.38554217	0
64-172	2019	Lampinen	2	14	7	5	5	5	6	1.2	5	5	0	0	0	4	5	47.1849866	0
64-172	2019	Lampinen	12	29	7	5	5	5	5	1.2	5	5	20	0	0	4	5	45.720423	0
64-172	2019	Lampinen	9	9	7	5	5	5	6	1.3	5	4	0	0	0	4	5	45.52147239	0
64-172	2019	Lampinen	2	14	7	5	5	5	5	1.2	5	4	50	0	0	4	4	44.38292964	0
64-172	2019	Lampinen	12	29	7	4	4	5	6	1.3	5	4	0	0	0	4	5	45.62005165	20
64-172	2019	Lampinen	6	24	7	5	5	5	5	1.3	5	5	25	0	0	4	5	47.02876609	0
64-172	2019	Lampinen	9	9	7	4	5	5	6	1.2	5	4	40	0	0	4	5	42.74002157	0
64-172	2019	Lampinen	8	19	7	5	5	5	6	1.3	5	4	0	0	0	4	5	45.88859416	0
64-172	2019	Lampinen	8	19	7	5	5	5	6	1.2	5	5	20	0	0	4	5	44.23997056	0
64-172	2019	Lampinen	2	14	7	5	5	5	5	1.2	5	5	20	0	0	4	5	47.01252236	0
64-172	2019	Lampinen	12	29	7	5	4	5	5	1.2	5	5	0	0	0	4	5	48.47996779	0
64-172	2019	Lampinen	9	9	7	5	3	5	5	1.2	5	5	0	0	0	4	5	45.78491443	0
64-172	2019	Lampinen	12	29	7	5	5	5	5	1.2	5	5	20	0	0	4	5	46.63997214	0
64-172	2019	Lampinen	8	19	7	5	5	5	6	1.3	5	5	0	0	0	4	5	46.71187834	0
64-172	2019	Lampinen	8	19	7	5	5	5	5	1.2	5	4	25	0	0	4	4	44.13302656	0
64-172	2019	Lampinen	8	19	7	5	4	5	5	1.2	5	5	50	0	0	4	4	47.54066615	0
64-172	2019	Lampinen	8	19	7	4	5	5	5	1.2	5	4	0	0	0	4	5	46.12385321	0
64-172	2019	Lampinen	2	14	7	5	5	5	5	1.2	5	4	40	0	0	4	4	45.31109916	0
64-172	2019	Select Chico	3	10	7	5	5	5	5	1.2	5	4	70	0	0	4	4	48.33843798	0
64-172	2019	Stolp	7	1	7	5	5	5	5	1.2	5	4	40	0	0	4	5	47.98421419	0
64-172	2020	New Stuke	1	6	7	5	5	5	5	1.2	5	4	40	0	0	5	4	45.97249509	0
64-172	2020	New Stuke	9	15	7	5	5	5	5	1.2	5	5	0	0	0	5	4	52.12749004	0
64-172	2020	GB	13	2	7	5	5	5	5	1.2	5	5	0	0	0	4	5	54.64124063	0
64-172	2020	Stolp	7	1	7	5	5	5	5	1.2	5	5	30	0	0	5	4	51.10735569	0
64-172	2020	Carriere	5	1	7	5	5	5	5	1.2	5	5	0	0	0	5	5	49.49445532	0
64-172	2020	CSUC	6	1	7	5	5	5	5	1.2	5	43	60	0	0	4	4	46.81594939	0
64-172	2020	Gilbert	8	1	7	5	5	5	5	1.3	5	4	11.11111111	0	0	4	5	47.99298534	10
64-172	2020	Crow	1	1	7	5	5	5	5	1.2	6	5	40	0	0	5	5	48.54956965	0
64-172	2021	New Stuke	1	6	5	5	5	5	5	1.2	5	5	10	0	0	4	5	55.39096649	0
64-172	2021	New Stuke	9	15	7	5	5	5	5	1.2	5	5	0	0	0	4	5	49.94892748	0
64-172	2021	GB	13	2	7	5	4	5	5	1.2	5	5	0	0	0	5	5	53.67179009	0
64-172	2021	S505	8	30	7	5	5	5	5	1.2	5	4	60	0	0	4	4	47.24780948	0
64-172	2021	Stolp	5	1	7	5	5	5	5	1.2	5	5	NA	NA	NA	NA	5	50.33077994	0
64-172	2021	Carriere	5	1	7	5	5	5	5	1.3	5	5	NA	NA	NA	NA	5	49.80494148	0
64-172	2021	CSUC	6	1	7	5	5	5	5	1.3	5	5	NA	NA	NA	NA	5	47.08481262	0
64-182	2017	New Stuke	9	17	7	6	5	5	6	1.4	5	5	0	0	0	5	5	52.32933213	0
64-182	2017	GB	11	3	7	5	5	5	5	1.2	5	5	0	0	0	5	5	55.84415584	0
64-182	2017	S505	1	1	7	6	5	5	6	1.3	6	4	0	0	0	3	4	50.23829787	0
64-182	2018	New Stuke	9	17	7	5	5	5	5	1.2	5	5	0	0	0	4	5	48.44312314	0
64-182	2018	GB	11	3	7	5	4	5	5	1.2	5	4	0	0	0	5	4	52.97185505	0
64-182	2018	Barton	1	23	7	5	5	5	5	1.2	4	5	0	0	0	5	4	55.22534583	0
64-182	2019	New Stuke	9	17	7	5	5	5	5	1.2	5	5	0	0	0	5	5	48.05019853	0
64-182	2019	GB	11	3	7	5	5	5	5	1.3	5	5	0	0	0	5	5	49.62090541	0
64-182	2019	GB	11	3	7	5	5	5	5	1.2	4	5	0	0	0	5	5	49.48321449	0
64-182	2019	GB	11	3	7	5	4	5	5	1.3	5	5	0	0	0	5	5	50.57104717	0
64-182	2019	Lampinen	3	29	7	6	5	5	6	1.2	5	5	0	0	0	5	5	50.06378455	0
64-182	2019	Lampinen	4	19	7	6	5	5	6	1.2	5	5	0	0	0	4	5	48.08268424	0
64-182	2019	Lampinen	4	19	7	6	5	5	5	1.2	6	5	0	0	0	5	5	48.65170126	0
64-182	2019	Lampinen	4	19	7	6	5	5	5	1.2	5	5	0	0	0	5	5	44.04741744	0
64-182	2019	Lampinen	4	19	7	6	4	5	6	1.3	5	5	0	20	0	5	5	47.6574759	16.66666667
64-182	2019	Lampinen	13	24	7	6	5	5	6	1.4	5	5	0	0	0	5	5	44.44087919	0
64-182	2019	Lampinen	4	19	7	6	3	5	5	1.2	5	4	0	0	0	5	4	46.99493121	0
64-182	2019	Lampinen	3	29	7	6	4	5	6	1.2	5	5	0	0	0	4	4	48.20091056	0
64-182	2019	Lampinen	2	9	7	6	5	5	6	1.3	5	4	0	0	0	5	5	42.26706606	0
64-182	2019	Lampinen	2	9	7	6	5	5	6	1.2	5	6	0	0	0	5	5	60.75560561	0
64-182	2019	Lampinen	2	9	7	6	4	5	6	1.3	5	5	0	0	0	5	5	46.91102572	0
64-182	2019	Lampinen	12	14	7	6	4	5	5	1.3	5	5	0	0	0	4	5	46.6279913	0
64-182	2019	Lampinen	2	9	6	6	5	5	6	1.2	5	5	0	0	0	5	5	48.61052926	0
64-182	2019	Lampinen	3	29	7	6	4	5	5	1.3	5	4	0	0	0	5	5	45.78479268	0
64-182	2019	Lampinen	13	24	7	6	5	5	6	1.4	5	4	0	0	0	5	5	43.93748877	0
64-182	2019	Lampinen	2	9	7	6	4	5	5	1.3	5	5	0	0	0	5	5	48.36012862	0
64-182	2019	Lampinen	4	19	7	6	4	5	6	1.3	5	5	12.5	0	0	5	4	45.0486618	0
64-182	2019	Lampinen	13	24	7	6	4	5	6	1.3	6	5	0	0	0	5	5	46.81642138	0
64-182	2019	Lampinen	13	24	7	6	5	5	6	1.4	5	5	0	0	0	5	5	45.57451612	10
64-182	2019	Lampinen	12	14	7	6	5	5	6	1.3	5	5	0	0	0	5	5	48.25116589	0
64-182	2019	Lampinen	4	19	7	5	5	5	6	1.2	5	5	0	0	0	5	5	48.93801816	0
64-182	2019	Lampinen	3	29	7	6	5	5	6	1.3	5	4	0	10	0	5	5	47.62907437	0
64-182	2019	Lampinen	13	24	7	6	5	5	6	1.4	5	5	0	0	0	5	5	41.93081488	0
64-182	2019	Lampinen	4	19	7	6	4	5	6	1.2	5	5	11.11111111	0	0	5	4	45.70095534	0
64-182	2019	Lampinen	12	14	7	6	4	5	5	12	5	5	0	0	0	4	4	44.47430299	0
64-182	2019	Lampinen	12	14	7	6	4	5	6	1.3	5	4	0	0	0	4	5	42.60869565	14.28571429
64-182	2019	Lampinen	2	9	7	6	5	5	6	1.4	5	5	0	0	0	4	5	40.98641479	14.28571429
64-182	2019	Lampinen	13	24	7	6	5	5	6	1.3	5	5	0	0	0	5	5	43.78664379	0
64-182	2019	Lampinen	13	24	7	6	5	5	6	1.3	5	5	0	0	0	5	5	42.06299213	0
64-182	2019	Lampinen	12	14	7	6	6	5	6	1.3	5	4	0	0	0	5	5	42.88452324	0
64-182	2019	Lampinen	12	14	7	6	5	5	6	1.4	5	5	0	0	0	4	5	45.1950078	0
64-182	2019	Lampinen	2	9	7	6	5	5	6	1.3	5	5	0	10	0	5	5	47.02939337	0
64-182	2019	Lampinen	3	29	6	6	3	5	5	1.2	5	5	0	33.33333333	33.33333333	4	5	42.30521571	0
64-182	2019	Lampinen	2	9	7	5	4	5	6	1.3	6	5	0	0	0	5	5	44.12595005	0
64-182	2019	Lampinen	12	14	7	6	5	5	5	1.2	5	5	0	0	0	4	5	46.00340136	0
64-182	2019	Lampinen	13	24	7	6	4	5	6	1.3	5	5	0	0	0	4	5	44.66119097	0
64-182	2019	Lampinen	12	14	7	5	4	5	5	1.2	5	5	0	0	0	4	5	43.29411765	0
64-182	2019	Lampinen	4	19	7	6	5	5	5	1.2	5	5	0	0	0	4	5	50.04916421	0
64-182	2019	Lampinen	2	9	7	6	5	5	6	1.3	5	5	0	0	0	5	5	45.29088913	0
64-182	2019	Lampinen	3	29	7	6	4	5	5	1.3	5	5	0	0	0	5	5	47.76688453	0
64-182	2019	Lampinen	12	14	7	6	5	5	6	1.3	5	5	0	0	0	5	5	48.96046852	0
64-182	2019	Lampinen	13	24	7	6	4	5	6	1.4	5	4	0	0	0	5	5	37.96143251	0
64-182	2019	Lampinen	4	19	7	6	5	5	5	1.2	5	4	0	0	0	5	5	46.71403197	0
64-182	2019	Lampinen	3	29	7	6	5	5	5	1.2	5	4	0	0	0	5	4	48.97015553	0
64-182	2019	Lampinen	3	29	7	6	3	5	6	1.2	5	5	0	0	0	4	4	49.11646586	0
64-182	2019	Lampinen	3	29	7	5	5	5	6	1.3	5	5	0	0	0	4	5	50.65606362	0
64-182	2019	Lampinen	2	9	7	6	5	5	6	1.3	5	5	0	0	0	5	5	42.07566462	0
64-182	2019	Lampinen	3	29	7	6	4	5	6	1.3	5	5	0	0	0	5	5	46.73423423	0
64-182	2019	Lampinen	3	29	7	6	5	5	6	1.3	5	5	0	0	0	5	5	46.95055374	20
64-182	2019	Lampinen	12	14	7	6	5	5	5	1.2	5	5	0	0	0	5	5	46.71941335	0
64-182	2019	Lampinen	12	14	7	6	4	5	5	1.2	5	5	0	0	0	5	5	47.49696865	0
64-182	2019	Lampinen	4	19	7	6	5	5	6	1.3	5	4	0	0	0	5	5	48.3860288	0
64-182	2019	Lampinen	12	14	7	6	5	5	5	1.2	5	4	0	0	0	4	5	41.66125892	0
64-182	2019	Lampinen	4	19	7	6	4	5	6	1.2	5	4	0	0	0	5	5	45.61675718	0
64-182	2019	Lampinen	3	29	7	6	4	5	6	1.3	5	5	0	0	0	5	5	46.08117845	25
64-182	2019	Lampinen	2	9	7	6	5	5	6	1.3	5	5	0	0	0	5	5	48.41935484	0
64-182	2019	Lampinen	2	9	7	6	5	5	6	1.3	5	4	0	0	0	5	5	47.44033061	20
64-182	2019	Lampinen	2	9	7	6	5	5	6	1.3	5	5	0	0	0	5	5	44.08825193	0
64-182	2019	Lampinen	13	24	7	6	7	5	6	1.5	5	6	0	0	0	5	5	44.06192707	0
64-182	2019	Lampinen	13	24	7	6	5	5	6	1.3	5	5	0	0	0	5	5	46.13503856	0
64-182	2019	Lampinen	13	24	7	6	4	5	6	1.4	5	5	0	0	0	4	5	44.12747938	0
64-182	2019	Lampinen	13	24	7	6	4	5	6	1.4	5	5	0	0	0	5	5	42.54721797	0
64-182	2019	Lampinen	12	14	7	6	5	5	5	1.4	5	5	0	0	0	5	5	46.2043961	0
64-182	2019	Lampinen	4	19	7	6	4	5	6	1.2	5	5	0	0	0	5	5	48.54700855	0
64-182	2019	Stolp	2	1	7	6	5	5	5	1.2	5	5	0	0	0	5	5	50.15504563	0
64-182	2020	New Stuke	9	17	7	6	5	5	5	1.2	5	5	0	0	0	5	5	52.24769012	0
64-182	2020	GB	11	3	7	6	5	5	5	1.2	5	5	0	0	0	4	5	52.35631269	10
64-182	2020	Stolp	2	1	7	5	5	5	5	1.2	5	5	0	0	0	5	5	53.47306426	0
64-182	2020	Crow	2	1	7	6	5	5	5	1.4	5	6	0	0	0	5	5	49.37238494	0
64-182	2021	New Stuke	9	17	7	6	5	5	5	1.2	5	5	10	0	0	5	5	49.68734156	0
64-182	2021	GB	11	3	7	6	5	5	5	1.1	4	5	0	0	0	5	5	52.44047619	0
64-182	2021	Stolp	2	1	7	5	5	5	5	1.2	4	5	0	0	0	5	5	51.05171305	0
67-011	2017	New Stuke	9	18	7	5	5	5	5	1.1	5	5	30	20	0	5	5	52.27719236	0
67-011	2017	GB	9	3	7	5	5	5	5	1.1	5	5	0	10	0	5	5	57.96658883	0
67-011	2017	S505	20	1	7	6	7	5	5	1.2	5	4	20	20	0	4	4	51.44981413	0
67-011	2017	S505	3	3	7	5	5	5	4	1	5	5	30	10	0	5	4	57.65086207	0
67-011	2018	New Stuke	9	18	7	6	6	5	4	1.1	5	4	10	0	10	4	4	52.10124164	0
67-011	2018	GB	9	3	7	5	5	5	5	1.1	5	5	0	0	0	5	4	56.73933271	0
67-011	2018	S505	20	1	7	6	7	5	5	1.1	5	3	20	20	0	4	3	47.65782163	0
67-011	2018	S505	3	3	7	5	6	5	5	1.2	5	5	20	0	0	4	4	51.96261682	0
